comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
UgzsRDtn3O2qAP6hr_x4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@EdenDaPudgyMango,UC52jxMqsFiOaUnOCueL-IIA,Why is there football at my greenday concert?,45,8,False,,25020,187,2026-02-09,04:23:09,Monday,4,False,False,False,0,1,0.9030208972461833,,,,,
UgzsRDtn3O2qAP6hr_x4AaABAg.AT-0YzVckeJAT-AgJ-U0Sj,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@annadiaz2717,UCJcpN5y2pviqPpquJkLtLFA,"@ededapudgymango
BECAUSE IT WAS NOT YOUR CONCERT, YOU PAID NOTHING TO WATCH THEM PERFORM!!😅😅😅😅😅",95,14,True,UgzsRDtn3O2qAP6hr_x4AaABAg,11,0,2026-02-09,05:51:40,Monday,5,True,False,False,2,0,0.0003970115855199047,,,,,
UgzsRDtn3O2qAP6hr_x4AaABAg.AT-0YzVckeJAT-DHObHtgS,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Íñigo_yanguas_2,UC2rbLPS7KLkSWGkGINjE9pA,​@annadiaz2717Do you know What humour mean?,43,6,True,UgzsRDtn3O2qAP6hr_x4AaABAg,114,0,2026-02-09,06:14:21,Monday,6,True,False,False,0,1,0.004114483704479013,,,,,
UgzsRDtn3O2qAP6hr_x4AaABAg.AT-0YzVckeJAT-Dyq3SaRy,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@PresidentClippy45,UCDMdaJg9L-ejtb4Sr_Y3W0A,​@annadiaz2717😭 it's sarcastic lol,34,4,True,UgzsRDtn3O2qAP6hr_x4AaABAg,22,0,2026-02-09,06:20:24,Monday,6,True,False,False,0,0,0.0007940231710398094,,,,,
UgzsRDtn3O2qAP6hr_x4AaABAg.AT-0YzVckeJAT-EMoieQyW,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@najasingleton8942,UCZyjC7Tn2-CQ0R1CyIvTHAg,I was in my room having my own lil concert!! 🤘,46,11,True,UgzsRDtn3O2qAP6hr_x4AaABAg,77,0,2026-02-09,06:23:49,Monday,6,True,False,False,2,0,0.002779081098639333,,,,,
UgzsRDtn3O2qAP6hr_x4AaABAg.AT-0YzVckeJAT-EX84Hp-C,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@najasingleton8942,UCZyjC7Tn2-CQ0R1CyIvTHAg,@annadiaz2717 i bet ur real fun at parties 😂,44,9,True,UgzsRDtn3O2qAP6hr_x4AaABAg,33,0,2026-02-09,06:25:14,Monday,6,True,False,False,0,0,0.001191034756559714,,,,,
UgxZFMp1XY4Yy3NHpvN4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@StatixSymphony,UCpO8IY614ynu_GhbYO5C2Zg,Green day singing American Idiot  at the Superbowl during one of the most politically charged times was just too perfect 🤌,122,21,False,,27706,206,2026-02-09,02:34:04,Monday,2,True,False,False,0,0,0.99996390803768,,,,,
UgxZFMp1XY4Yy3NHpvN4AaABAg.ASzp40c4QxUASzpGxEWdKH,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@thorparra6093,UCKHoYgVHaKgbpRHITFnaGbQ,Grandes Green Day siempre,25,4,True,UgxZFMp1XY4Yy3NHpvN4AaABAg,93,0,2026-02-09,02:35:50,Monday,2,False,False,False,0,0,0.0033565524957591946,,,,,
UgxZFMp1XY4Yy3NHpvN4AaABAg.ASzp40c4QxUAT-01-rZT0z,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@AshCox-i1h,UCkG0uMhFPE5p1MUOw3s9hmg,Too bad the didn't sing the altered lyric,41,8,True,UgxZFMp1XY4Yy3NHpvN4AaABAg,198,0,2026-02-09,04:18:30,Monday,4,False,False,False,0,0,0.007146208539358285,,,,,
UgxZFMp1XY4Yy3NHpvN4AaABAg.ASzp40c4QxUAT-3J0wQcRj,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@wept2_,UCzDPvaB_i_FeGEInNnMyvtQ,​@AshCox-i1hyeah was kinda hoping they would but they probably said they shouldn't,82,12,True,UgxZFMp1XY4Yy3NHpvN4AaABAg,61,0,2026-02-09,04:47:11,Monday,4,True,False,False,0,0,0.0022016097015194716,,,,,
